what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1276720965434
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1276720965451
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1276720965452
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1276720965452
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1276720965456
os,sysinfo,,,"linux",1276720965467
arch,sysinfo,,,"x86",1276720965467
ws,sysinfo,,,"gtk",1276720965467
locale,sysinfo,,,"en_US",1276720965467
processors,sysinfo,,,"4",1276720965467
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276720965467
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276720965467
java.specification.name,sysinfo,,,"Java Platform API Specification",1276720965467
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276720965467
java.specification.version,sysinfo,,,"1.6",1276720965467
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276720965467
java.version,sysinfo,,,"1.6.0_20",1276720965468
java.vm.info,sysinfo,,,"mixed mode",1276720965468
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1276720965468
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276720965468
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276720965468
java.vm.specification.version,sysinfo,,,"1.0",1276720965468
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276720965468
java.vm.version,sysinfo,,,"16.3-b01",1276720965468
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1276720965475
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1276720965544
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1276720965621
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1276720965694
